id,ProvinceORState,CountryOrRegion,LastUpdate,Confirmed,Deaths,Recovered,Latitude,Longitude
1,Hubei,China,2020-03-13T11:09:03,67786,3062,51553,30.9756,112.2707
2,,Italy,2020-03-13T22:21:57,17660,1266,1439,41.8719,12.5674
3,,Iran,2020-03-13T14:13:25,11364,514,2959,32.4279,53.688
4,,"Korea, South",2020-03-13T15:33:33,7979,66,510,35.9078,127.7669
5,,Spain,2020-03-13T23:33:05,5232,133,193,40.4637,-3.7492
6,,Germany,2020-03-13T23:13:12,3675,7,46,51.1657,10.4515
7,France,France,2020-03-13T22:22:05,3661,79,12,46.2276,2.2137
8,Guangdong,China,2020-03-13T11:09:03,1356,8,1296,23.3417,113.4244
9,Henan,China,2020-03-11T08:13:09,1273,22,1249,33.882,113.614
10,Zhejiang,China,2020-03-12T01:33:02,1215,1,1197,29.1832,120.0934
11,,Switzerland,2020-03-13T23:33:05,1139,11,4,46.8182,8.2275
12,Hunan,China,2020-03-13T11:09:03,1018,4,1005,27.6104,111.7088
13,,Norway,2020-03-13T23:13:12,996,0,1,60.472,8.4689
14,Anhui,China,2020-03-11T02:18:14,990,6,984,31.8257,117.2264
15,Jiangxi,China,2020-03-12T02:13:04,935,1,934,27.614,115.7221
16,,Sweden,2020-03-13T23:13:12,814,1,1,60.1282,18.6435
17,,Netherlands,2020-03-13T22:21:57,804,10,0,52.1326,5.2913
18,Denmark,Denmark,2020-03-13T23:53:03,801,0,1,56.2639,9.5018
19,United Kingdom,United Kingdom,2020-03-13T23:53:03,798,8,18,55.3781,-3.436
20,Shandong,China,2020-03-13T11:09:03,760,7,739,36.3427,118.1498
21,,Japan,2020-03-13T23:33:05,701,19,118,36.2048,138.2529
22,Diamond Princess,Cruise Ship,2020-03-13T14:13:25,696,7,325,35.4498,139.6649
23,Jiangsu,China,2020-03-13T11:09:03,631,0,630,32.9711,119.455
24,Chongqing,China,2020-03-13T23:13:12,576,6,566,30.0572,107.874
25,Washington,US,2020-03-13T23:33:06,568,37,1,47.4009,-121.4905
26,,Belgium,2020-03-13T14:33:03,556,3,1,50.5039,4.4699
27,Sichuan,China,2020-03-13T11:09:03,539,3,503,30.6171,102.7103
28,Heilongjiang,China,2020-03-13T11:09:03,482,13,446,47.862,127.7615
29,Beijing,China,2020-03-13T11:09:03,436,8,342,40.1824,116.4142
30,New York,US,2020-03-13T23:33:06,421,0,0,42.1657,-74.9481
31,Shanghai,China,2020-03-13T11:09:03,346,3,324,31.202,121.4491
32,,Qatar,2020-03-13T23:33:05,320,0,0,25.3548,51.1839
33,Hebei,China,2020-03-13T11:09:03,318,6,310,38.0428,114.5149
34,,Austria,2020-03-12T11:13:29,302,1,4,47.5162,14.5501
35,Fujian,China,2020-03-11T02:18:14,296,1,295,26.0789,117.9874
36,California,US,2020-03-13T23:33:06,282,4,6,36.1162,-119.6816
37,Guangxi,China,2020-03-13T11:09:03,252,2,243,23.8298,108.7881
38,Shaanxi,China,2020-03-12T01:33:02,245,2,232,35.1917,108.8701
39,,Singapore,2020-03-13T23:33:05,200,0,97,1.3521,103.8198
40,,Malaysia,2020-03-13T22:21:57,197,0,26,4.2105,101.9758
41,,Greece,2020-03-13T22:21:57,190,1,0,39.0742,21.8243
42,,Bahrain,2020-03-13T22:21:57,189,0,35,26.0667,50.5577
43,Yunnan,China,2020-03-11T02:18:14,174,2,170,24.974,101.487
44,Hainan,China,2020-03-12T03:53:02,168,6,160,19.1959,109.7453
45,,Israel,2020-03-13T23:53:02,161,0,4,31.0461,34.8516
46,,Finland,2020-03-13T22:21:57,155,0,1,61.9241,25.7482
47,,Brazil,2020-03-13T22:21:58,151,0,0,-14.235,-51.9253
48,Guizhou,China,2020-03-13T11:09:03,146,2,140,26.8154,106.8748
49,,Czechia,2020-03-13T23:53:02,141,0,0,49.8175,15.473
50,,Slovenia,2020-03-13T23:33:05,141,0,0,46.1512,14.9955
51,Tianjin,China,2020-03-12T01:53:03,136,3,132,39.3054,117.323
52,Hong Kong,China,2020-03-13T13:33:03,134,4,77,22.3,114.2
53,,Iceland,2020-03-13T23:53:02,134,0,1,64.9631,-19.0208
54,Shanxi,China,2020-03-13T11:09:03,133,0,133,37.5777,112.2922
55,Gansu,China,2020-03-13T11:09:03,127,2,88,36.0611,103.8343
56,Liaoning,China,2020-03-12T09:53:06,125,1,112,41.2956,122.6085
57,Massachusetts,US,2020-03-13T23:33:06,123,0,1,42.2302,-71.5301
58,,Portugal,2020-03-13T23:33:05,112,0,1,39.3999,-8.2245
59,,Iraq,2020-03-13T23:53:02,101,9,24,33.2232,43.6793
60,Jilin,China,2020-03-13T11:09:03,93,1,91,43.6661,126.1923
61,,Ireland,2020-03-13T23:53:02,90,1,0,53.1424,-7.6921
62,,Romania,2020-03-13T23:33:05,89,0,7,45.9432,24.9668
63,,Saudi Arabia,2020-03-13T23:33:05,86,0,1,23.8859,45.0792
64,,United Arab Emirates,2020-03-13T22:21:58,85,0,17,23.4241,53.8478
65,,India,2020-03-13T22:21:58,82,2,4,20.5937,78.9629
66,,Egypt,2020-03-13T14:13:25,80,2,27,26.8206,30.8025
67,,Kuwait,2020-03-13T22:21:58,80,0,5,29.3117,47.4818
68,,San Marino,2020-03-13T23:33:05,80,5,0,43.9424,12.4578
69,,Estonia,2020-03-13T23:53:02,79,0,0,58.5953,25.0136
70,,Lebanon,2020-03-13T12:33:03,77,3,1,33.8547,35.8623
71,Xinjiang,China,2020-03-11T02:18:14,76,3,73,41.1129,85.2401
72,Inner Mongolia,China,2020-03-11T03:53:03,75,1,71,44.0935,113.9448
73,Ningxia,China,2020-03-11T09:33:12,75,0,72,37.2692,106.1655
